iter	Passed	Remaining
226	589	2007
227	591	2001
228	592	1995
229	594	1990
230	596	1985
231	597	1978
232	599	1972
233	600	1966
234	604	1968
235	606	1963
236	608	1957
237	609	1951
238	610	1945
239	612	1939
240	614	1933
241	615	1928
242	618	1927
243	620	1922
244	622	1917
245	623	1912
246	625	1906
247	626	1900
248	628	1894
249	629	1889
250	632	1887
251	633	1881
252	635	1875
253	636	1870
254	638	1864
255	639	1859
256	641	1854
257	642	1849
258	644	1843
259	646	1839
260	648	1836
261	650	1831
262	651	1825
263	653	1820
264	654	1815
265	655	1809
266	657	1804
267	658	1799
268	660	1794
269	663	1792
270	664	1787
271	666	1783
272	668	1779
273	669	1774
274	671	1769
275	672	1764
276	674	1759
277	676	1756
278	677	1751
279	679	1746
280	680	1741
281	682	1736
282	683	1731
283	685	1727
284	686	1722
285	688	1717
286	689	1713
287	692	1711
288	693	1707
289	695	1702
290	696	1697
291	697	1692
292	699	1687
293	700	1683
294	702	1679
295	704	1675
296	707	1673
297	708	1669
298	711	1667
299	712	1663
300	715	1660
301	717	1658
302	719	1654
303	723	1655
304	724	1651
305	726	1647
306	728	1643
307	729	1639
308	731	1636
309	733	1631
310	734	1627
311	737	1626
312	739	1623
313	740	1618
314	742	1614
315	743	1609
316	745	1605
317	747	1602
318	748	1598
319	751	1597
320	753	1594
321	755	1590
322	757	1587
323	758	1582
324	760	1578
325	761	1574
326	762	1570
327	764	1566
328	767	1565
329	769	1561
330	770	1557
331	771	1553
332	773	1549
333	775	1545
334	776	1541
335	777	1537
336	779	1533
337	782	1531
338	783	1528
339	785	1524
340	786	1520
341	787	1516
342	789	1511
343	790	1507
344	792	1504
345	793	1500
346	797	1499
347	798	1496
348	799	1492
349	802	1489
350	803	1485
351	805	1482
352	807	1479
353	808	1476
354	812	1475
355	813	1472
356	815	1468
357	817	1465
358	818	1462
359	820	1458
360	822	1455
361	823	1451
362	825	1447
363	827	1445
364	829	1442
365	830	1438
366	831	1434
367	833	1430
368	834	1427
369	836	1423
370	837	1420
371	839	1416
372	841	1415
373	843	1411
374	845	1408
375	846	1405
376	847	1401
377	849	1397
378	850	1394
379	852	1390
380	853	1386
381	856	1385
382	858	1382
383	859	1378
384	860	1375
385	862	1371
386	864	1368
387	865	1365
388	867	1361
389	868	1358
390	870	1355
391	872	1353
392	873	1349
393	875	1346
394	876	1342
395	878	1339
396	879	1335
397	881	1332
398	883	1330
399	886	1329
400	888	1326
401	891	1326
402	896	1328
403	898	1325
404	902	1325
405	903	1322
406	905	1319
407	907	1316
408	909	1313
409	911	1311
410	913	1308
411	914	1305
412	918	1305
413	919	1302
414	921	1298
415	922	1295
416	924	1292
417	925	1289
418	927	1286
419	929	1283
420	932	1282
421	933	1279
422	935	1276
423	937	1273
424	939	1271
425	941	1268
426	942	1264
427	943	1261
428	947	1260
429	949	1258
430	950	1255
431	952	1252
432	954	1249
433	956	1247
434	958	1245
435	960	1243
436	963	1241
437	965	1238
438	967	1236
439	969	1233
440	970	1230
441	972	1227
442	974	1224
443	977	1223
444	979	1221
445	980	1218
446	982	1215
447	984	1213
448	986	1210
449	988	1207
450	990	1206
451	993	1204
452	995	1201
453	996	1199
454	1000	1198
